#1/cm,e1,e2
,,
1004.73,-33.469,108.82
1002.8,-33.517,109.08
1000.87,-33.564,109.34
998.95,-33.612,109.61
997.02,-33.66,109.88
995.09,-33.708,110.14
993.16,-33.756,110.41
991.23,-33.804,110.68
989.3,-33.852,110.96
987.38,-33.9,111.23
985.45,-33.948,111.5
983.52,-33.997,111.78
981.59,-34.045,112.05
979.66,-34.094,112.33
977.73,-34.143,112.61
975.8,-34.192,112.89
973.88,-34.24,113.17
971.95,-34.29,113.45
970.02,-34.339,113.73
968.09,-34.388,114.02
966.16,-34.437,114.3
964.23,-34.487,114.59
962.3,-34.536,114.88
960.38,-34.585,115.16
958.45,-34.635,115.45
956.52,-34.685,115.75
954.59,-34.735,116.04
952.66,-34.785,116.33
950.73,-34.835,116.63
948.81,-34.885,116.92
946.88,-34.935,117.22
944.95,-34.985,117.52
943.02,-35.036,117.82
941.09,-35.086,118.12
939.16,-35.137,118.43
937.23,-35.188,118.73
935.31,-35.238,119.04
933.38,-35.289,119.34
931.45,-35.34,119.65
929.52,-35.391,119.96
927.59,-35.442,120.27
925.66,-35.494,120.59
923.74,-35.545,120.9
921.81,-35.596,121.22
919.88,-35.648,121.53
917.95,-35.699,121.85
916.02,-35.751,122.17
914.09,-35.803,122.49
912.16,-35.855,122.81
910.24,-35.906,123.14
908.31,-35.959,123.46
906.38,-36.011,123.79
904.45,-36.063,124.12
902.52,-36.115,124.45
900.59,-36.168,124.78
898.67,-36.22,125.11
896.74,-36.273,125.44
894.81,-36.326,125.78
892.88,-36.378,126.12
890.95,-36.431,126.46
889.02,-36.484,126.8
887.09,-36.537,127.14
885.17,-36.59,127.48
883.24,-36.644,127.83
881.31,-36.697,128.17
879.38,-36.751,128.52
877.45,-36.804,128.87
875.52,-36.858,129.22
873.6,-36.911,129.57
871.67,-36.965,129.93
869.74,-37.019,130.29
867.81,-37.073,130.64
865.88,-37.127,131
863.95,-37.182,131.36
862.02,-37.236,131.73
860.1,-37.29,132.09
858.17,-37.345,132.46
856.24,-37.399,132.83
854.31,-37.454,133.2
852.38,-37.509,133.57
850.45,-37.564,133.94
848.53,-37.618,134.32
846.6,-37.673,134.69
844.67,-37.729,135.07
842.74,-37.784,135.45
840.81,-37.839,135.84
838.88,-37.895,136.22
836.95,-37.95,136.61
835.03,-38.006,136.99
833.1,-38.061,137.38
831.17,-38.117,137.77
829.24,-38.173,138.17
827.31,-38.229,138.56
825.38,-38.285,138.96
823.46,-38.341,139.36
821.53,-38.397,139.76
819.6,-38.454,140.16
817.67,-38.51,140.57
815.74,-38.567,140.98
813.81,-38.624,141.39
811.88,-38.68,141.8
809.96,-38.737,142.21
808.03,-38.794,142.63
806.1,-38.851,143.04
804.17,-38.908,143.46
802.24,-38.965,143.88
800.31,-39.022,144.31
798.39,-39.08,144.73
796.46,-39.137,145.16
794.53,-39.195,145.59
792.6,-39.252,146.02
790.67,-39.31,146.46
788.74,-39.368,146.9
786.81,-39.426,147.33
784.89,-39.484,147.77
782.96,-39.542,148.22
781.03,-39.6,148.66
779.1,-39.658,149.11
777.17,-39.717,149.56
775.24,-39.775,150.01
773.32,-39.833,150.47
771.39,-39.892,150.93
769.46,-39.951,151.38
767.53,-40.01,151.85
765.6,-40.069,152.31
763.67,-40.128,152.78
761.74,-40.187,153.25
759.82,-40.246,153.72
757.89,-40.305,154.19
755.96,-40.365,154.67
754.03,-40.424,155.15
752.1,-40.484,155.63
750.17,-40.543,156.12
748.25,-40.603,156.6
746.32,-40.663,157.09
744.39,-40.723,157.58
742.46,-40.783,158.08
740.53,-40.843,158.57
738.6,-40.903,159.07
736.67,-40.963,159.58
734.75,-41.023,160.08
732.82,-41.084,160.59
730.89,-41.144,161.1
728.96,-41.205,161.61
727.03,-41.266,162.13
725.1,-41.327,162.65
723.18,-41.387,163.17
